signal_time,entry_datetime,entry_month,entry_time,entry_price,entry_spread,vix_at_entry,vix_at_entry_time,indicator,exit_datetime,exit_spread,exit_price,exit_reason,sl_price,price_difference,pnl,expiry,opttype,buy_leg_strike,sell_leg_strike,buy_leg_entry_price,sell_leg_entry_price,buy_leg_exit_price,sell_leg_exit_price,max_profit_time,max_profit_pnl,min_profit_time,min_profit_pnl
2022-01-10 10:00:00,2022-01-10 10:16:00,January,10:16:00,17966.2,62.65,18.14,2022-01-10T10:16:00.000000,vix_higher_than_threshold,2022-01-10 11:24:00,67.25,17937.6,stop_loss,17939.2507,-1.6507000000019616,-230.00000000000006,2022-01-13,PE,17750,17950,43.65,106.3,47.3,114.55,2022-01-10 11:08:00,162.49999999999966,2022-01-10 11:24:00,-230.00000000000006
2022-01-11 10:30:00,2022-01-11 10:46:00,January,10:46:00,18038.45,66.30000000000001,17.96,2022-01-11T10:46:00.000000,vix_lower_than_threshold,2022-01-11 14:42:00,70.65,18006.3,stop_loss,18011.392325,-5.092325000001438,-217.50000000000006,2022-01-13,PE,17850,18050,41.6,107.9,37.55,108.2,2022-01-11 13:36:00,787.5000000000006,2022-01-11 14:42:00,-217.50000000000006
2022-01-11 15:00:00,2022-01-11 15:16:00,January,15:16:00,18051.1,61.150000000000006,17.78,2022-01-11T15:16:00.000000,vix_lower_than_threshold,2022-01-12 13:01:00,15.95,18182.25,time_exit,18024.02335,158.22665000000052,2260.0,2022-01-13,PE,17850,18050,31.3,92.45,5.55,21.5,2022-01-12 11:38:00,2447.5,2022-01-12 12:58:00,2252.5
2022-01-12 13:30:00,2022-01-12 13:46:00,January,13:46:00,18193.9,49.8,17.29,2022-01-12T13:46:00.000000,vix_lower_than_threshold,2022-01-12 13:56:00,55.699999999999996,18165.4,stop_loss,18166.60915,-1.2091499999987718,-294.9999999999998,2022-01-13,PE,18000,18200,12.35,62.15,14.15,69.85,2022-01-12 13:46:00,-12.499999999999911,2022-01-12 13:56:00,-294.9999999999998
2022-01-13 11:15:00,2022-01-13 11:31:00,January,11:31:00,18233.95,40.1,16.9,2022-01-13T11:31:00.000000,vix_lower_than_threshold,2022-01-13 13:06:00,42.800000000000004,18205.2,stop_loss,18206.599075000002,-1.3990750000011758,-135.00000000000014,2022-01-13,PE,18050,18250,2.3,42.4,1.55,44.35,2022-01-13 12:17:00,779.9999999999999,2022-01-13 13:01:00,-415.0000000000002
2022-01-13 13:30:00,2022-01-13 13:46:00,January,13:46:00,18227.35,34.3,16.77,2022-01-13T13:46:00.000000,vix_lower_than_threshold,2022-01-13 15:20:00,0.7,18264.7,time_exit,18200.008974999997,64.69102500000372,1680.0,2022-01-13,PE,18050,18250,0.85,35.15,0.05,0.75,2022-01-13 15:19:00,1697.5000000000002,2022-01-13 15:20:00,1680.0
2022-01-14 14:45:00,2022-01-14 15:01:00,January,15:01:00,18272.0,61.85000000000001,16.56,2022-01-14T15:01:00.000000,vix_lower_than_threshold,2022-01-14 15:20:00,68.10000000000001,18241.55,stop_loss,18244.592,-3.0420000000012806,-312.5,2022-01-20,PE,18050,18250,48.05,109.9,52.55,120.65,2022-01-14 15:05:00,82.50000000000064,2022-01-14 15:20:00,-312.5
2022-01-17 10:00:00,2022-01-17 10:16:00,January,10:16:00,18288.9,70.45,17.13,2022-01-17T10:16:00.000000,vix_lower_than_threshold,2022-01-17 13:45:00,73.44999999999999,18260.65,stop_loss,18261.466650000002,-0.8166500000006636,-149.99999999999966,2022-01-20,PE,18100,18300,44.25,114.7,44.35,117.8,2022-01-17 11:58:00,417.4999999999997,2022-01-17 13:45:00,-149.99999999999966
2022-01-17 13:45:00,2022-01-17 14:01:00,January,14:01:00,18307.1,62.449999999999996,16.84,2022-01-17T14:01:00.000000,vix_lower_than_threshold,2022-01-18 09:38:00,63.99999999999999,18278.5,stop_loss,18279.639349999998,-1.1393499999976484,-77.49999999999986,2022-01-20,PE,18100,18300,33.65,96.1,32.1,96.1,2022-01-18 09:20:00,669.9999999999998,2022-01-18 09:38:00,-77.49999999999986
2022-01-31 12:00:00,2022-01-31 12:16:00,January,12:16:00,17383.75,79.80000000000001,22.0,2022-01-31T12:16:00.000000,vix_higher_than_threshold,2022-01-31 12:42:00,82.5,17349.75,stop_loss,17357.674375,-7.92437499999869,-134.99999999999943,2022-02-03,PE,17200,17400,164.2,244.0,171.55,254.05,2022-01-31 12:20:00,87.5,2022-01-31 12:34:00,-144.99999999999886
2022-01-31 12:45:00,2022-01-31 13:01:00,January,13:01:00,17394.3,78.44999999999999,22.0,2022-01-31T13:01:00.000000,vix_higher_than_threshold,2022-01-31 13:05:00,82.04999999999998,17363.3,stop_loss,17368.20855,-4.908550000000105,-179.99999999999972,2022-02-03,PE,17200,17400,161.8,240.25,168.9,250.95,2022-01-31 13:01:00,-47.50000000000085,2022-01-31 13:04:00,-212.5
2022-01-31 14:00:00,2022-01-31 14:16:00,January,14:16:00,17382.6,80.30000000000001,21.84,2022-01-31T14:16:00.000000,vix_higher_than_threshold,2022-01-31 15:01:00,85.14999999999998,17346.05,stop_loss,17356.5261,-10.47609999999986,-242.4999999999983,2022-02-03,PE,17200,17400,160.1,240.4,168.3,253.45,2022-01-31 14:34:00,107.50000000000028,2022-01-31 15:01:00,-242.4999999999983
2022-02-01 09:45:00,2022-02-01 10:01:00,February,10:01:00,17548.75,81.6,21.87,2022-02-01T10:01:00.000000,vix_higher_than_threshold,2022-02-01 11:28:00,90.25,17519.15,stop_loss,17522.426875,-3.2768749999995634,-432.5000000000003,2022-02-03,PE,17350,17550,149.3,230.9,147.3,237.55,2022-02-01 10:33:00,215.00000000000057,2022-02-01 11:28:00,-432.5000000000003
2022-02-01 11:45:00,2022-02-01 12:01:00,February,12:01:00,17595.2,84.19999999999999,21.38,2022-02-01T12:01:00.000000,vix_higher_than_threshold,2022-02-01 12:05:00,83.44999999999999,17566.95,stop_loss,17568.8072,-1.8571999999985565,37.5,2022-02-03,PE,17400,17600,140.3,224.5,134.4,217.85,2022-02-01 12:04:00,134.99999999999943,2022-02-01 12:05:00,37.5
2022-02-01 14:00:00,2022-02-01 14:16:00,February,14:16:00,17541.45,78.85,20.06,2022-02-01T14:16:00.000000,vix_higher_than_threshold,2022-02-02 12:01:00,10.600000000000001,17761.15,time_exit,17515.137825,246.01217499999984,3412.5,2022-02-03,PE,17350,17550,69.4,148.25,6.75,17.35,2022-02-02 12:01:00,3412.5,2022-02-02 12:01:00,3412.5
2022-02-02 12:30:00,2022-02-02 12:46:00,February,12:46:00,17759.55,55.150000000000006,18.76,2022-02-02T12:46:00.000000,vix_higher_than_threshold,2022-02-02 12:56:00,59.3,17732.35,stop_loss,17732.910675,-0.5606750000006286,-207.49999999999974,2022-02-03,PE,17550,17750,18.25,73.4,19.7,79.0,2022-02-02 12:49:00,47.50000000000032,2022-02-02 12:56:00,-207.49999999999974
2022-02-02 15:15:00,2022-02-03 09:16:00,February,09:16:00,17760.5,39.349999999999994,18.64,2022-02-03T09:16:00.000000,vix_higher_than_threshold,2022-02-03 09:17:00,41.199999999999996,17727.45,stop_loss,17733.85925,-6.409250000000611,-92.50000000000003,2022-02-03,PE,17550,17750,4.45,43.8,4.1,45.3,2022-02-03 09:16:00,-15.000000000000169,2022-02-03 09:17:00,-92.50000000000003
2022-02-09 13:15:00,2022-02-09 13:31:00,February,13:31:00,17410.95,46.95,18.97,2022-02-09T13:31:00.000000,vix_higher_than_threshold,2022-02-10 11:16:00,3.2499999999999996,17576.55,time_exit,17384.833575,191.7164249999987,2185.0,2022-02-10,PE,17200,17400,11.7,58.65,1.6,4.85,2022-02-10 11:14:00,2195.0,2022-02-10 11:16:00,2185.0
2022-02-10 11:30:00,2022-02-10 11:46:00,February,11:46:00,17610.5,26.8,18.21,2022-02-10T11:46:00.000000,vix_higher_than_threshold,2022-02-10 12:20:00,35.0,17579.95,stop_loss,17584.08425,-4.134249999999156,-410.00000000000006,2022-02-10,PE,17400,17600,3.3,30.1,3.2,38.2,2022-02-10 11:52:00,255.0000000000001,2022-02-10 12:20:00,-410.00000000000006
2022-02-10 12:30:00,2022-02-10 12:46:00,February,12:46:00,17604.4,22.05,17.96,2022-02-10T12:46:00.000000,vix_lower_than_threshold,2022-02-10 15:20:00,0.8999999999999999,17601.7,time_exit,17577.993400000003,23.706599999997707,1057.5,2022-02-10,PE,17400,17600,1.75,23.8,0.05,0.95,2022-02-10 15:17:00,1070.0,2022-02-10 15:19:00,1057.5
2022-02-16 11:15:00,2022-02-16 11:31:00,February,11:31:00,17323.35,52.24999999999999,20.56,2022-02-16T11:31:00.000000,vix_higher_than_threshold,2022-02-16 11:38:00,59.1,17295.95,stop_loss,17297.364974999997,-1.4149749999960477,-342.50000000000045,2022-02-17,PE,17100,17300,30.35,82.6,33.85,92.95,2022-02-16 11:31:00,-12.500000000000355,2022-02-16 11:36:00,-347.5000000000005
2022-02-16 12:15:00,2022-02-16 12:31:00,February,12:31:00,17372.05,47.849999999999994,20.16,2022-02-16T12:31:00.000000,vix_higher_than_threshold,2022-02-16 14:49:00,55.550000000000004,17326.05,stop_loss,17345.991925,-19.941924999999173,-385.0000000000005,2022-02-17,PE,17150,17350,26.5,74.35,24.15,79.7,2022-02-16 13:53:00,1507.4999999999995,2022-02-16 14:49:00,-385.0000000000005
